"Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m65944979926","2024-09-14","","2024-09-25","Sonny Angel - Animal Series 2 (sealed box)","Completed","New Jersey","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.09","0.00","1.27","0.00","0.76"
"m43960665536","2024-09-17","","2024-09-25","Jellycat Diner - Amuseables Fran Pancakes","Completed","Louisiana","New York","79.00","8.99","0.00","0.00","0.00","0.00","79.00","7.44","0.00","7.90","0.00","2.41"
"m64554283302","2024-09-20","","2024-09-25","Sonny Angel - Animal Series 4 (sealed)","Completed","New York","New York","25.50","6.99","0.00","0.00","0.00","0.00","25.50","2.27","0.00","2.55","0.00","1.58"
"m21688483989","2024-09-22","","2024-09-25","custom bundle","Completed","Massachusetts","New York","27.98","4.99","0.00","0.00","0.00","0.00","27.98","1.75","0.00","2.79","0.00","1.59"
"b74346762874","2024-09-22","","2024-09-26","Bundle for Makiya Athey","Completed","Virginia","New York","76.96","4.99","0.00","0.00","0.00","0.00","76.96","4.62","0.00","7.69","0.00","3.23"
"m74464585401","2024-09-21","","2024-09-26","Sonny Angel - In New York Series (sealed box)","Completed","New Jersey","New York","20.00","4.99","0.00","0.00","0.00","0.00","20.00","1.63","0.00","2.00","0.00","1.33"
"m69509626501","2024-09-20","","2024-09-26","custom bundle","Completed","Florida","New York","96.50","6.99","0.00","0.00","0.00","0.00","96.50","6.73","0.00","9.65","0.00","3.98"
"m79949214879","2024-09-13","","2024-09-26","Sonny Angel Gifts of Love (Balloon)","Completed","California","New York","16.29","4.99","0.00","0.00","0.00","0.00","16.29","1.59","0.00","1.62","0.00","1.21"
"m11947632621","2024-09-22","","2024-09-26","custom bundle","Completed","Florida","New York","26.75","4.99","0.00","0.00","0.00","0.00","26.75","2.06","0.00","2.67","0.00","1.56"
"m18520180426","2024-09-24","","2024-09-26","Sonny Angel - In New York Series (Statue of Liberty)","Completed","California","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","1.75","0.00","2.00","0.00","1.30"
"m37125944687","2024-09-22","","2024-09-26","Sonny Angel - Animal Series 3 (sealed box)","Completed","Texas","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.49","0.00","1.29","0.00","0.00"
"m77416606752","2024-09-24","","2024-09-27","Sonny Angel - Fruit Series (sealed box)","Completed","Ohio","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.25","0.00","1.29","0.00","1.07"
"m55659732413","2024-09-19","","2024-09-27","Sonny Angel - Animal Set (Duck)","Completed","California","New York","50.00","4.99","0.00","0.00","0.00","0.00","50.00","4.75","0.00","5.00","0.00","2.38"
"m67815478335","2024-09-23","","2024-09-27","custom bundle","Completed","Massachusetts","New York","60.96","4.99","0.00","0.00","0.00","0.00","60.96","3.81","0.00","6.09","0.00","2.70"
"m98615676769","2024-09-24","","2024-09-27","Sonny Angel - Animal Series 2 (sealed)","Completed","Pennsylvania","New York","25.99","4.99","0.00","0.00","0.00","0.00","25.99","1.86","0.00","2.59","0.00","1.38"
"m65049159476","2024-09-22","","2024-09-27","custom bundle","Completed","Florida","New York","40.50","4.99","0.00","0.00","0.00","0.00","40.50","3.18","0.00","4.05","0.00","2.03"
"b99800373869","2024-09-23","","2024-09-27","Bundle for jb0601!!","Completed","New York","New York","75.48","4.99","0.00","0.00","0.00","0.00","75.48","6.94","0.00","7.54","0.00","3.25"
"m98374480130","2024-09-21","","2024-09-27","Sonny Angel - Candy Series (sealed)","Completed","Texas","New York","26.00","4.99","0.00","0.00","0.00","0.00","26.00","2.73","0.00","2.60","0.00","1.55"
"m39181058892","2024-09-23","","2024-09-27","custom bundle","Completed","California","New York","25.98","4.99","0.00","0.00","0.00","0.00","25.98","2.27","0.00","2.59","0.00","0.00"
"b73826964913","2024-09-24","","2024-09-28","Bundle for ambersworld","Completed","Kentucky","New York","55.98","4.99","0.00","0.00","0.00","0.00","55.98","3.63","0.00","5.59","0.00","1.94"
"m74506558557","2024-09-21","","2024-09-28","Sonny Angel - Fruit Series (sealed box)","Completed","Florida","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.26","0.00","1.27","0.00","1.04"
"m94770011142","2024-09-22","","2024-09-28","Sonny Angel - Candy Series (sealed)","Completed","California","New York","30.00","4.99","0.00","0.00","0.00","0.00","30.00","3.08","0.00","3.00","0.00","1.55"
"m99529665329","2024-09-20","","2024-09-28","Sonny Angel - Candy Series (sealed)","Completed","California","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.55","0.00","2.55","0.00","1.53"
"m40025272747","2024-09-24","","2024-09-28","Sonny Angel - Animal Series 2 (sealed box)","Completed","Tennessee","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.54","0.00","1.29","0.00","0.00"
"b50987833778","2024-09-22","","2024-09-28","Bundle for iznay","Completed","Massachusetts","New York","59.98","4.99","0.00","0.00","0.00","0.00","59.98","3.75","0.00","5.99","0.00","0.00"
"m59897080610","2024-09-24","","2024-09-29","Sonny Angel - Candy Series (sealed)","Completed","California","New York","29.99","4.99","0.00","0.00","0.00","0.00","29.99","2.50","0.00","2.99","0.00","1.67"
"m79686355365","2024-09-14","","2024-09-29","Sonny Angel - Harvest Hippers (sealed box)","Completed","New York","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.66","0.00","1.50","0.00","1.14"
"m35285241187","2024-09-21","","2024-09-29","Sonny Angel - Candy Series (sealed box)","Completed","Texas","New York","13.00","3.99","0.00","0.00","0.00","0.00","13.00","1.49","0.00","1.30","0.00","0.93"
"b80955354068","2024-09-26","","2024-09-29","Bundle for angwei","Completed","Pennsylvania","New York","25.74","4.99","0.00","0.00","0.00","0.00","25.74","2.46","0.00","2.57","0.00","1.54"
"m26108517140","2024-09-20","","2024-09-29","Sonny Angel - Candy Series (sealed box)","Completed","District Of Columbia","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.00","0.00","1.27","0.00","0.00"
"m51219218694","2024-09-23","","2024-09-29","custom bundle","Completed","Florida","New York","42.97","3.99","0.00","0.00","0.00","0.00","42.97","3.29","0.00","4.29","0.00","2.08"
"m30687621407","2024-09-21","","2024-09-29","Sonny Angel - In New York Series (sealed box)","Completed","California","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","1.88","0.00","2.00","0.00","1.31"
"m60639670399","2024-09-25","","2024-09-30","Sonny Angel - Vegetable Series (bundle)","Completed","California","New York","29.99","4.99","0.00","0.00","0.00","0.00","29.99","2.62","0.00","2.99","0.00","1.68"
"m50238776944","2024-09-26","","2024-09-30","Sonny Angel - Fruit Series (sealed)","Completed","South Dakota","New York","25.99","4.99","0.00","0.00","0.00","0.00","25.99","2.08","0.00","2.59","0.00","1.53"
"m31391880120","2024-09-24","","2024-09-30","Sonny Angel - Japanese Good Luck Series (sealed)","Completed","California","New York","39.99","4.99","0.00","0.00","0.00","0.00","39.99","3.50","0.00","3.99","0.00","0.00"
"m22075103533","2024-09-26","","2024-10-01","Sonny Angel - Japanese Good Luck Series (sealed box)","Completed","Virginia","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","1.20","0.00","1.99","0.00","1.29"
"m34446704820","2024-09-26","","2024-10-01","Sonny Angel - Fruit Series (sealed box)","Completed","Arizona","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.12","0.00","1.29","0.00","1.06"
"m85708147952","2024-09-24","","2024-10-01","Sonny Angel - Vegetable Series (sealed box)","Completed","Illinois","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.09","0.00","1.27","0.00","0.76"
"m54900926959","2024-09-19","","2024-10-01","Jellycat Diner - Amuseables Fran Pancakes + Amuseables Rene Waffle","Completed","California","New York","159.00","8.99","0.00","0.00","0.00","0.00","159.00","13.12","0.00","15.90","0.00","5.26"
"m13737513816","2024-09-25","","2024-10-01","custom bundle","Completed","Georgia","New York","38.73","4.99","0.00","0.00","0.00","0.00","38.73","3.46","0.00","3.87","0.00","1.98"
"m54812292710","2024-09-24","","2024-10-01","Sonny Angel - Fruit Series (sealed box)","Completed","Texas","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.49","0.00","1.29","0.00","1.07"
"m52997571162","2024-09-24","","2024-10-02","Sonny Angel - Japanese Good Luck Series (sealed box)","Completed","New York","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","2.13","0.00","1.99","0.00","1.31"
"m20225995640","2024-09-23","","2024-10-02","Sonny Angel - Harvest Hippers (sealed box)","Completed","Washington","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","2.08","0.00","1.99","0.00","1.31"
"m80290265331","2024-09-24","","2024-10-02","custom bundle","Completed","Arizona","New York","117.48","6.99","0.00","0.00","0.00","0.00","117.48","9.16","0.00","11.74","0.00","4.72"
"m85586886270","2024-09-20","","2024-10-03","Sonny Angel - In New York Series (sealed box)","Completed","Georgia","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.68","0.00","1.50","0.00","1.14"
"m14668342980","2024-09-26","","2024-10-03","custom bundle","Completed","Georgia","New York","46.74","4.99","0.00","0.00","0.00","0.00","46.74","3.08","0.00","4.67","0.00","2.22"
"m55446045253","2024-09-24","","2024-10-03","Sylvanian Families Gashapon Forest Friends Kindergarten (Full Set)","Completed","California","New York","47.96","4.99","0.00","0.00","0.00","0.00","47.96","4.20","0.00","4.79","0.00","2.30"
"m33102335993","2024-09-28","","2024-10-03","Sonny Angel - Animal Series 2 (sealed box)","Completed","California","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.21","0.00","1.27","0.00","0.91"
"b57339298241","2024-09-28","","2024-10-04","Bundle for Diego Tovar","Completed","Florida","New York","71.48","4.99","0.00","0.00","0.00","0.00","71.48","4.97","0.00","7.14","0.00","3.07"
"m92805432397","2024-09-28","","2024-10-05","Sonny Angel - Dog Time Series Set of 2","Completed","Texas","New York","30.00","4.99","0.00","0.00","0.00","0.00","30.00","3.08","0.00","3.00","0.00","1.69"
"m69166285567","2024-09-28","","2024-10-06","Sonny Angel - Misc Set of 4","Completed","California","New York","39.00","4.99","0.00","0.00","0.00","0.00","39.00","3.41","0.00","3.90","0.00","1.99"
"m47328511892","2024-10-02","","2024-10-07","Sonny Angel - Japanese Good Luck Series (Raccoon Dog)","Completed","Connecticut","New York","12.00","3.99","0.00","0.00","0.00","0.00","12.00","0.99","0.00","1.20","0.00","1.03"
"m13925896335","2024-09-27","","2024-10-07","custom bundle","Completed","Florida","New York","48.97","4.99","0.00","0.00","0.00","0.00","48.97","3.78","0.00","4.89","0.00","2.32"
"m24566596075","2024-09-28","","2024-10-07","Sonny Angel - Vegetable Series (sealed box)","Completed","Texas","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.47","0.00","1.27","0.00","0.00"
"m55467517555","2024-10-01","","2024-10-07","custom bundle","Completed","Delaware","New York","78.99","4.99","0.00","0.00","0.00","0.00","78.99","0.00","0.00","7.89","0.00","3.16"
"m27781771399","2024-09-28","","2024-10-07","custom bundle","Completed","California","New York","32.98","4.99","0.00","0.00","0.00","0.00","32.98","3.01","0.00","3.29","0.00","1.78"
"m95422206471","2024-10-01","","2024-10-07","Sonny Angel - Harvest Hippers (sealed box)","Completed","Tennessee","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","2.24","0.00","1.99","0.00","1.32"
"m33384735844","2024-09-30","","2024-10-07","Sonny Angel - Fruit Series (sealed box)","Completed","Colorado","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.58","0.00","1.29","0.00","1.08"
"m16799644851","2024-09-24","","2024-10-07","Jellycat Diner - Amuseables Fran Pancakes","Completed","Nevada","New York","79.00","8.99","0.00","0.00","0.00","0.00","79.00","6.62","0.00","7.90","0.00","3.47"
"m17224776415","2024-09-27","","2024-10-08","Sonny Angel - In New York Series (sealed box)","Completed","California","New York","21.00","3.99","0.00","0.00","0.00","0.00","21.00","2.05","0.00","2.10","0.00","1.20"
"m54754726463","2024-09-28","","2024-10-08","custom bundle","Completed","Texas","New York","33.99","4.99","0.00","0.00","0.00","0.00","33.99","3.44","0.00","3.39","0.00","1.83"
"m24124972575","2024-09-30","","2024-10-08","Sonny Angel - Harvest Hippers (sealed)","Completed","California","New York","39.99","4.99","0.00","0.00","0.00","0.00","39.99","3.50","0.00","3.99","0.00","1.88"
"b82416662195","2024-09-28","","2024-10-08","Bundle for Loren Brimage","Completed","Arizona","New York","53.99","4.99","0.00","0.00","0.00","0.00","53.99","4.21","0.00","5.39","0.00","2.49"
"m90668122964","2024-09-24","","2024-10-08","Funko POP! Rocks - BTS Jimin (Dynamite) #222","Completed","Colorado","New York","6.85","7.99","0.00","0.00","0.00","0.00","6.85","1.33","0.00","0.68","0.00","0.99"
"m18113748297","2024-10-02","","2024-10-09","Sonny Angel - Vegetable Series (sealed)","Completed","California","New York","38.25","5.99","0.00","0.00","0.00","0.00","38.25","3.19","0.00","3.82","0.00","0.93"
"m71581316892","2024-10-02","","2024-10-09","Sonny Angel - In New York Series (sealed boxes)","Completed","Maryland","New York","64.00","4.99","0.00","0.00","0.00","0.00","64.00","3.84","0.00","6.40","0.00","2.80"
"b88909528724","2024-10-01","","2024-10-09","Bundle for Taylor Crowder","Completed","Texas","New York","25.98","3.99","0.00","0.00","0.00","0.00","25.98","2.64","0.00","2.59","0.00","1.52"
"m51130303985","2024-09-29","","2024-10-10","Sonny Angel - Animal Series 2 (sealed)","Completed","Ohio","New York","38.25","5.99","0.00","0.00","0.00","0.00","38.25","3.28","0.00","3.82","0.00","1.99"
"m84734163069","2024-10-02","","2024-10-10","Sonny Angel - Animal Series 1 (sealed box)","Completed","Florida","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.27","0.00","1.29","0.00","1.07"
"m57450141658","2024-10-06","","2024-10-10","custom bundle","Completed","North Carolina","New York","47.97","4.99","0.00","0.00","0.00","0.00","47.97","3.54","0.00","4.79","0.00","1.65"
"m17135558592","2024-10-01","","2024-10-10","Sonny Angel - Animal Hippers (sealed)","Completed","Texas","New York","39.99","4.99","0.00","0.00","0.00","0.00","39.99","3.97","0.00","3.99","0.00","2.04"
"m57452590733","2024-10-04","","2024-10-10","Sonny Angel - Dog Time Series (Dachshund)","Completed","California","New York","15.00","3.99","0.00","0.00","0.00","0.00","15.00","1.54","0.00","1.50","0.00","1.14"
"m62315466266","2024-10-01","","2024-10-10","Smiski Keychain Set of 3","Completed","California","New York","36.00","5.99","0.00","0.00","0.00","0.00","36.00","2.61","0.00","3.60","0.00","1.90"
"m17305856250","2024-10-03","","2024-10-10","Sonny Angel - In New York Series (sealed boxes)","Completed","Texas","New York","42.00","4.99","0.00","0.00","0.00","0.00","42.00","4.15","0.00","4.20","0.00","2.10"
"m84330972264","2024-09-28","","2024-10-10","Sonny Angel - Fruit Series (sealed)","Completed","Washington","New York","25.99","4.99","0.00","0.00","0.00","0.00","25.99","3.08","0.00","2.59","0.00","1.56"
"m77411265624","2024-09-29","","2024-10-10","Sylvanian Families Gashapon Forest Friends Kindergarten (Squirrel)","Completed","Florida","New York","11.99","3.99","0.00","0.00","0.00","0.00","11.99","1.04","0.00","1.19","0.00","1.03"
"m97820157322","2024-10-07","","2024-10-10","Popmart Vita Super Band Bundle","Completed","Virginia","New York","10.00","5.99","0.00","0.00","0.00","0.00","10.00","0.60","0.00","1.00","0.00","0.00"
"m89588542224","2024-10-06","","2024-10-10","custom bundle","Completed","Alabama","New York","99.50","6.99","0.00","0.00","0.00","0.00","99.50","7.96","0.00","9.95","0.00","4.11"
"m94704386237","2024-10-06","","2024-10-11","Sonny Angel - Marine Series (sealed box)","Completed","Georgia","New York","15.99","3.99","0.00","0.00","0.00","0.00","15.99","1.37","0.00","1.59","0.00","1.02"
"m91537145308","2024-10-01","","2024-10-11","Sonny Angel - Sweets Series (sealed)","Completed","California","New York","29.99","4.99","0.00","0.00","0.00","0.00","29.99","3.07","0.00","2.99","0.00","1.55"
"m81532738933","2024-10-06","","2024-10-11","custom bundle","Completed","Illinois","New York","25.74","4.99","0.00","0.00","0.00","0.00","25.74","3.15","0.00","2.57","0.00","1.27"
"m75995385269","2024-10-05","","2024-10-11","Sonny Angel - Animal Set (Mouse)","Completed","Texas","New York","40.00","4.99","0.00","0.00","0.00","0.00","40.00","3.98","0.00","4.00","0.00","2.04"
"m37866156372","2024-10-08","","2024-10-11","Sonny Angel - In New York Series (sealed box)","Completed","New York","New York","22.00","3.99","0.00","0.00","0.00","0.00","22.00","2.31","0.00","2.20","0.00","1.38"
"m73120586185","2024-10-02","","2024-10-11","Jellycat Diner - Amuseables Fran Pancakes + Amuseables Rene Waffle","Completed","Nevada","New York","159.00","8.99","0.00","0.00","0.00","0.00","159.00","13.14","0.00","15.90","0.00","6.21"
"m33073586011","2024-10-06","","2024-10-11","Sonny Angel - Chinoiserie Series bundle","Completed","California","New York","31.00","4.99","0.00","0.00","0.00","0.00","31.00","2.40","0.00","3.10","0.00","1.70"
"m85786453890","2024-10-06","","2024-10-12","Sonny Angel - In New York Series (sealed boxes)","Completed","California","New York","44.00","4.99","0.00","0.00","0.00","0.00","44.00","4.18","0.00","4.40","0.00","2.02"
"m28383827312","2024-10-03","","2024-10-12","Sonny Angel - In New York Series (sealed box)","Completed","Texas","New York","22.00","3.99","0.00","0.00","0.00","0.00","22.00","2.29","0.00","2.20","0.00","1.38"
"m13589645415","2024-10-08","","2024-10-13","Sonny Angel - Vegetable Set of 2","Completed","New Jersey","New York","39.00","4.99","0.00","0.00","0.00","0.00","39.00","2.88","0.00","3.90","0.00","1.97"
"m84669708712","2024-10-09","","2024-10-13","Sonny Angel - Animal Hippers (sealed box)","Completed","New York","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","1.68","0.00","1.99","0.00","0.75"
"m69909239939","2024-10-05","","2024-10-13","Sonny Angel - Dinosaur Series Set","Completed","California","New York","55.99","5.99","0.00","0.00","0.00","0.00","55.99","5.74","0.00","5.59","0.00","2.63"
"m68997483936","2024-10-08","","2024-10-13","Sonny Angel - Vegetable Series (sealed)","Completed","Kentucky","New York","38.25","4.99","0.00","0.00","0.00","0.00","38.25","2.57","0.00","3.82","0.00","1.94"
"m93232740933","2024-10-06","","2024-10-14","Sonny Angel - Marine Series (sealed box)","Completed","California","New York","15.99","4.99","0.00","0.00","0.00","0.00","15.99","1.52","0.00","1.59","0.00","1.20"
"m76170610073","2024-10-04","","2024-10-14","ADIDAS Continental 80s (Women's)","Completed","California","New York","30.99","7.99","0.00","0.00","0.00","0.00","30.99","2.91","0.00","3.09","0.00","1.80"
"m83007548532","2024-10-08","","2024-10-15","Sonny Angel - Animal Hippers (sealed box)","Completed","Tennessee","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","2.18","0.00","1.99","0.00","1.32"
"m40340271381","2024-10-10","","2024-10-15","Smiski - Exercise Series (sealed)","Completed","Florida","New York","35.99","5.99","0.00","0.00","0.00","0.00","35.99","2.94","0.00","3.59","0.00","1.91"
"m41268995518","2024-10-09","","2024-10-15","Smiski Keychain","Completed","Texas","New York","12.00","4.99","0.00","0.00","0.00","0.00","12.00","1.48","0.00","1.20","0.00","0.00"
"m42607726697","2024-10-11","","2024-10-15","Sonny Angel - In New York Series (sealed boxes)","Completed","Michigan","New York","44.00","4.99","0.00","0.00","0.00","0.00","44.00","2.64","0.00","4.40","0.00","2.12"
"m39070713751","2024-10-11","","2024-10-15","custom bundle","Completed","North Carolina","New York","60.50","5.99","0.00","0.00","0.00","0.00","60.50","4.45","0.00","6.05","0.00","2.73"
"m71348612759","2024-10-12","","2024-10-15","Sonny Angel - Animal Series 2 (sealed)","Completed","Virginia","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","1.53","0.00","2.55","0.00","1.50"
"m26634061135","2024-10-11","","2024-10-15","Sonny Angel - Animal Hippers (sealed)","Completed","Texas","New York","40.00","4.99","0.00","0.00","0.00","0.00","40.00","3.98","0.00","4.00","0.00","1.92"
"m93980018916","2024-10-09","","2024-10-15","Sonny Angel - Animal Series Set","Completed","Florida","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","1.98","0.00","2.55","0.00","1.52"
"m85359306457","2024-10-05","","2024-10-16","Sonny Angel - Vegetable Series (sealed box)","Completed","Missouri","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.54","0.00","1.27","0.00","1.07"
"m78215345377","2024-10-12","","2024-10-16","Sonny Angel - In New York Series (sealed box)","Completed","Kentucky","New York","22.00","3.99","0.00","0.00","0.00","0.00","22.00","1.54","0.00","2.20","0.00","1.36"
"m99919659918","2024-10-11","","2024-10-16","custom bundle","Completed","Alabama","New York","64.98","4.99","0.00","0.00","0.00","0.00","64.98","5.20","0.00","6.49","0.00","2.87"
"m68003546051","2024-10-07","","2024-10-16","Sonny Angel - In New York Series (sealed boxes)","Completed","Washington","New York","66.00","4.99","0.00","0.00","0.00","0.00","66.00","7.30","0.00","6.60","0.00","2.96"
"m68489909895","2024-10-11","","2024-10-17","Sonny Angel - Animal Series Set","Completed","California","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.23","0.00","2.55","0.00","1.52"
"m46898575169","2024-10-11","","2024-10-19","custom bundle","Completed","Utah","New York","60.00","4.99","0.00","0.00","0.00","0.00","60.00","4.05","0.00","6.00","0.00","2.68"
"m94667310459","2024-10-10","","2024-10-20","Sonny Angel - Animal Series 4 (sealed box)","Completed","Missouri","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.54","0.00","1.27","0.00","1.07"
"m63174363443","2024-10-10","","2024-10-20","Sonny Angel - Sweets Series (sealed box)","Completed","Florida","New York","14.99","3.99","0.00","0.00","0.00","0.00","14.99","1.23","0.00","1.49","0.00","1.13"
"m78826172417","2024-10-16","","2024-10-20","Sonny Angel - Animal Hippers (sealed)","Completed","Tennessee","New York","40.00","4.99","0.00","0.00","0.00","0.00","40.00","4.34","0.00","4.00","0.00","2.05"
"m41894183686","2024-10-16","","2024-10-20","Sonny Angel - Vegetable Series (sealed)","Completed","Pennsylvania","New York","25.50","4.99","0.00","0.00","0.00","0.00","25.50","2.44","0.00","2.55","0.00","1.53"
"m42972579682","2024-10-14","","2024-10-20","POP MART The Monsters KAIJU Series","Completed","New Hampshire","New York","8.99","4.99","0.00","0.00","0.00","0.00","8.99","0.00","0.00","0.89","0.00","0.93"
"m68224624763","2024-10-10","","2024-10-20","custom bundle","Completed","California","New York","106.50","7.99","0.00","0.00","0.00","0.00","106.50","10.12","0.00","10.65","0.00","4.42"
"b71707769674","2024-10-15","","2024-10-20","Bundle for munchkiins35","Completed","New York","New York","50.00","4.99","0.00","0.00","0.00","0.00","50.00","4.88","0.00","5.00","0.00","2.38"
"m60376677240","2024-10-07","","2024-10-20","custom bundle","Completed","Washington","New York","131.23","7.99","0.00","0.00","0.00","0.00","131.23","12.33","0.00","13.12","0.00","5.20"
"m80979883096","2024-10-11","","2024-10-21","Sonny Angel - Animal Hipper (Elephant)","Completed","Colorado","New York","16.00","3.99","0.00","0.00","0.00","0.00","16.00","0.87","0.00","1.60","0.00","1.15"
"m63922552915","2024-10-14","","2024-10-21","Sonny Angel - In New York Series (Statue of Liberty)","Completed","New York","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","2.13","0.00","2.00","0.00","1.32"
"m21219890300","2024-10-13","","2024-10-21","Sonny Angel - Animal Series bundle","Completed","Florida","New York","36.00","4.99","0.00","0.00","0.00","0.00","36.00","3.07","0.00","3.60","0.00","1.88"
"m45494865313","2024-10-15","","2024-10-21","Sonny Angel - In New York Series (sealed box)","Completed","Nevada","New York","22.00","3.99","0.00","0.00","0.00","0.00","22.00","1.84","0.00","2.20","0.00","1.37"
"m88090032962","2024-10-16","","2024-10-22","Sonny Angel - Animal Series 2 (sealed boxes)","Completed","California","New York","38.25","5.99","0.00","0.00","0.00","0.00","38.25","3.59","0.00","3.82","0.00","2.00"
"m77656208618","2024-10-13","","2024-10-22","Sonny Angel - Vegetable Series (sealed box)","Completed","California","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","0.99","0.00","1.27","0.00","0.91"
"m18531028128","2024-10-13","","2024-10-22","Sonny Angel - Japanese Good Luck Series (Raccoon Dog)","Completed","California","New York","12.00","3.99","0.00","0.00","0.00","0.00","12.00","1.14","0.00","1.20","0.00","0.89"
"m62113231819","2024-10-15","","2024-10-22","Sonny Angel - Vegetable Series (sealed box)","Completed","California","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.06","0.00","1.27","0.00","0.91"
"m47934831321","2024-10-12","","2024-10-22","Sonny Angel - Animal Series 3 (sealed box)","Completed","Virginia","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","0.69","0.00","1.29","0.00","1.05"
"m32680369826","2024-10-14","","2024-10-22","Smiski - Hipper (Sleeping)","Completed","Texas","New York","25.00","3.99","0.00","0.00","0.00","0.00","25.00","2.56","0.00","2.50","0.00","1.11"
"m96849576711","2024-10-14","","2024-10-22","Sonny Angel Official Spoon (Rabbit)","Completed","Michigan","New York","19.99","3.99","0.00","0.00","0.00","0.00","19.99","1.20","0.00","1.99","0.00","1.29"
"m62139423391","2024-10-15","","2024-10-22","Sonny Angel - Harvest Hippers (sealed box)","Completed","Nevada","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","1.68","0.00","2.00","0.00","1.30"
"m21427434880","2024-10-17","","2024-10-23","Sonny Angel - Animal Hippers (sealed box)","Completed","New York","New York","21.00","3.99","0.00","0.00","0.00","0.00","21.00","1.75","0.00","2.10","0.00","0.90"
"b93364345261","2024-10-18","","2024-10-24","Bundle for b k","Completed","New York","New York","33.00","4.99","0.00","0.00","0.00","0.00","33.00","3.32","0.00","3.30","0.00","1.79"
"m88912510593","2024-10-13","","2024-10-24","Sonny Angel - Animal Series 4 (sealed box)","Completed","California","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","0.99","0.00","1.27","0.00","0.91"
"m35596165947","2024-10-14","","2024-10-24","Re-Ment - Miffy Room Blind Box (Knitting)","Completed","California","New York","21.00","3.99","0.00","0.00","0.00","0.00","21.00","1.89","0.00","2.10","0.00","1.34"
"m24264721055","2024-10-16","","2024-10-24","NCT DREAM - Chenle photocard bundle","Completed","Texas","New York","10.00","4.99","0.00","0.00","0.00","0.00","10.00","1.30","0.00","1.00","0.00","1.00"
"m48330809183","2024-10-18","","2024-10-24","Sonny Angel - Fruit Series (sealed box)","Completed","Texas","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.49","0.00","1.29","0.00","0.91"
"m62242344124","2024-10-16","","2024-10-24","Sonny Angel - In New York Series (Big Apple)","Completed","Colorado","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","2.40","0.00","2.00","0.00","1.32"
"m94863950062","2024-10-20","","2024-10-24","Sonny Angel - Animal Series 2 (sealed box)","Completed","Missouri","New York","12.75","3.99","0.00","0.00","0.00","0.00","12.75","1.54","0.00","1.27","0.00","1.07"
"m11631169233","2024-10-17","","2024-10-24","Sonny Angel - Animal Series 1 (sealed box)","Completed","California","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.23","0.00","1.29","0.00","1.07"
"m28046303472","2024-10-18","","2024-10-24","Sonny Angel - Animal Series 3 (sealed box)","Completed","Florida","New York","12.99","3.99","0.00","0.00","0.00","0.00","12.99","1.27","0.00","1.29","0.00","1.07"
