"Item Title","Order Status","Shipped to State","Shipped from State","Item Price","Buyer Shipping Fee","Seller Shipping Fee","Mercari Selling Fee","Payment Processing Fee Charged To Seller","Shipping Adjustment Fee","Net Seller Proceeds","Sales Tax Charged to Buyer","Merchant Fees Charged to Buyer","Service Fee Charged to Buyer","Buyer Protection Charged to Buyer","Payment Processing Fee Charged to Buyer"
"m93066584767","2024-06-04","","2024-06-13","Sonny Angel Japanese Good Luck (Guardian Dog)","Completed","Texas","New York","14.44","3.99","0.00","0.00","0.00","0.00","14.44","1.21","0.00","1.15","0.00","1.10"
"m99833590207","2024-06-10","","2024-06-14","Smiski - Turtle Best Friend Plush Keyring/Keychain","Completed","Ohio","New York","38.99","4.99","0.00","0.00","0.00","0.00","38.99","3.27","0.00","3.11","0.00","1.96"
"m90258279441","2024-06-03","","2024-06-14","Sonny Angel - Vegetable Series (Bundle)","Completed","Washington","New York","31.99","6.99","0.00","0.00","0.00","0.00","31.99","3.92","0.00","4.79","0.00","1.88"
"b88175569310","2024-06-07","","2024-06-17","Bundle for spvceoddity","Completed","California","New York","45.23","6.99","0.00","0.00","0.00","0.00","45.23","3.51","0.00","4.86","0.00","2.26"
"m49718107553","2024-06-08","","2024-06-17","Sonny Angel - Vegetable Series (Tomato)","Completed","Georgia","New York","11.00","3.99","0.00","0.00","0.00","0.00","11.00","1.16","0.00","1.65","0.00","1.02"
"m86362786649","2024-06-06","","2024-06-17","custom bundle","Completed","Alabama","New York","39.00","5.99","0.00","0.00","0.00","0.00","39.00","3.12","0.00","5.85","0.00","0.53"
"m36041445856","2024-06-18","","2024-06-21","Sonny Angel - Animal Hipper (Sheep)","Completed","Texas","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","2.08","0.00","1.60","0.00","1.30"
"m94715357072","2024-06-18","","2024-06-23","Re-Ment -  Miffy Room Blind Box","Completed","New York","New York","11.99","4.99","0.00","0.00","0.00","0.00","11.99","1.51","0.00","0.95","0.00","0.51"
"m19261933567","2024-06-16","","2024-06-23","Supreme - Bad t-shirt","Completed","New York","New York","15.00","6.99","0.00","0.00","0.00","0.00","15.00","0.00","0.00","1.20","0.00","0.88"
"m44240184218","2024-06-15","","2024-06-23","Supreme - Love That Supreme t-shirt","Completed","North Carolina","New York","15.00","6.99","0.00","0.00","0.00","0.00","15.00","1.45","0.00","1.20","0.00","1.07"
"m10612634323","2024-06-16","","2024-06-24","Smiski - Work Series (Bundle)","Completed","California","New York","21.99","6.99","0.00","0.00","0.00","0.00","21.99","1.90","0.00","1.75","0.00","1.45"
"m63546684574","2024-06-18","","2024-06-26","iPhone 13 Pro Max Apple silicone case (lemon zest)","Completed","California","New York","10.00","3.99","0.00","0.00","0.00","0.00","10.00","0.78","0.00","0.80","0.00","0.95"
"m15850302392","2024-06-20","","2024-06-27","Re-Ment - Miffy Room Blind Box (Bed)","Completed","Maryland","New York","21.00","5.99","0.00","0.00","0.00","0.00","21.00","1.26","0.00","1.68","0.00","1.37"
"b72457582213","2024-06-22","","2024-06-27","Bundle for martasophia","Completed","New York","New York","65.14","4.99","0.00","0.00","0.00","0.00","65.14","6.22","0.00","5.21","0.00","2.58"
"m36591629602","2024-06-20","","2024-06-30","Sonny Angel Banana Monkey - Green","Completed","California","New York","240.00","4.99","0.00","0.00","0.00","0.00","240.00","22.80","0.00","21.60","0.00","8.89"
"m68600983489","2024-06-30","","2024-07-06","Sonny Angel - custom bundle","Completed","Illinois","New York","60.99","5.99","0.00","0.00","0.00","0.00","60.99","5.53","0.00","4.87","0.00","0.84"
"m82077478723","2024-07-01","","2024-07-06","Sonny Angel - Old Vegetable Series (Carrot)","Completed","Illinois","New York","12.35","3.99","0.00","0.00","0.00","0.00","12.35","1.39","0.00","0.98","0.00","1.04"
"m67160700226","2024-06-27","","2024-07-06","Smiski - Work Series (Bundle)","Completed","New York","New York","21.99","5.99","0.00","0.00","0.00","0.00","21.99","2.48","0.00","1.75","0.00","1.43"
"m47019634199","2024-06-28","","2024-07-06","Re-Ment Snoopy's Life in a Bottle (Maple Syrup)","Completed","California","New York","13.00","4.99","0.00","0.00","0.00","0.00","13.00","1.37","0.00","1.82","0.00","1.11"
"m88380602876","2024-06-26","","2024-07-07","Sonny Angel - Vegetable Series (Tomato)","Completed","California","New York","11.00","3.99","0.00","0.00","0.00","0.00","11.00","1.00","0.00","0.88","0.00","0.70"
"m17964869321","2024-07-05","","2024-07-09","Sonny Angel - Candy Store (sealed box)","Completed","Pennsylvania","New York","49.99","4.99","0.00","0.00","0.00","0.00","49.99","3.30","0.00","3.99","0.00","2.31"
"m32233177102","2024-07-02","","2024-07-11","Smiski Toothbrush Stand","Completed","Hawaii","New York","12.00","4.99","0.00","0.00","0.00","0.00","12.00","0.81","0.00","0.96","0.00","0.00"
"m89888719845","2024-07-08","","2024-07-15","NewJeans Light Stick Photocards Set","Completed","Oklahoma","New York","20.00","3.99","0.00","0.00","0.00","0.00","20.00","1.70","0.00","2.20","0.00","1.31"
"m65602401164","2024-07-07","","2024-07-15","Smiski - Work Series (Bundle)","Completed","Tennessee","New York","31.99","6.99","0.00","0.00","0.00","0.00","31.99","3.56","0.00","2.55","0.00","1.81"
"m51539165689","2024-07-10","","2024-07-16","Sanrio Happy Family Outing Blind Box (Hello Kitty)","Completed","Tennessee","New York","12.00","4.99","0.00","0.00","0.00","0.00","12.00","1.53","0.00","1.08","0.00","0.74"
"m68117981471","2024-07-08","","2024-07-16","POP MART Bobo and Coco -  Go Camping Blind Box (tent)","Completed","Nevada","New York","11.00","4.99","0.00","0.00","0.00","0.00","11.00","0.92","0.00","1.10","0.00","1.02"
"m73351075078","2024-07-07","","2024-07-16","NewJeans x MURAKAMI Supernatural (Target Edition) Sealed & Brand New","Completed","California","New York","18.99","4.99","0.00","0.00","0.00","0.00","18.99","1.66","0.00","1.89","0.00","0.51"
